h3_res10,spatial_component_id,spatial_component_size,present_neighbor_count,is_spatial_island,spatial_test_status,gistar_z_score,gistar_p_value,gistar_q_value,spatial_hotspot_label
8a60145b3277fff,1,2121,3,False,TESTED,-0.19569636641073654,0.338,0.475088087178893,NOT_HOT
8a60145b32a7fff,1,2121,5,False,TESTED,-1.3991519073341836,0.008,0.11323077460894218,NOT_HOT
8a60145b32affff,1,2121,3,False,TESTED,-0.4825543144334873,0.205,0.42486448063056514,NOT_HOT
8a60145b32b7fff,1,2121,4,False,TESTED,-1.3683505156572262,0.049,0.29142625500457453,NOT_HOT
8a60145b32c7fff,1,2121,5,False,TESTED,0.05128399495380743,0.387,0.4853906842593073,NOT_SIGNIFICANT
8a60145b32cffff,1,2121,4,False,TESTED,-0.3457998938109146,0.443,0.49057437164209067,NOT_HOT
8a60145b32d7fff,1,2121,4,False,TESTED,0.13724638356766478,0.322,0.46963982703752494,NOT_SIGNIFICANT
8a60145b32dffff,1,2121,5,False,TESTED,-0.06674816845688657,0.393,0.48633544331791523,NOT_HOT
8a60145b32e7fff,1,2121,3,False,TESTED,0.49430596634874646,0.184,0.4167100283236748,NOT_SIGNIFICANT
8a60145b32f7fff,1,2121,4,False,TESTED,0.25794169863906313,0.258,0.4497174932625539,NOT_SIGNIFICANT
8a60145b330ffff,1,2121,3,False,TESTED,0.1537254207868678,0.223,0.43680107411113644,NOT_SIGNIFICANT
8a60145b3357fff,1,2121,5,False,TESTED,-0.05851263152680716,0.207,0.4255642504665439,NOT_HOT
8a60145b335ffff,1,2121,3,False,TESTED,0.1761392244746364,0.29,0.465467060660444,NOT_SIGNIFICANT
8a60145b3367fff,1,2121,3,False,TESTED,-1.299209533199502,0.041,0.27432728030464865,NOT_HOT
8a60145b3377fff,1,2121,4,False,TESTED,-0.6656880007875927,0.4,0.4873234322649205,NOT_HOT
8a60145b3387fff,1,2121,5,False,TESTED,-0.7781577891489033,0.153,0.4007402060294915,NOT_HOT
8a60145b338ffff,1,2121,4,False,TESTED,-1.2521616993648026,0.011,0.1363536834716797,NOT_HOT
8a60145b3397fff,1,2121,6,False,TESTED,-1.1176454369685938,0.044,0.28007783632020694,NOT_HOT
8a60145b339ffff,1,2121,6,False,TESTED,-1.074364265093538,0.235,0.4417879937709063,NOT_HOT
8a60145b33a7fff,1,2121,3,False,TESTED,-0.31367815888487555,0.325,0.4715623286864392,NOT_HOT
8a60145b33b7fff,1,2121,6,False,TESTED,-0.5146306157549837,0.302,0.4679005419220933,NOT_HOT
8a60145b341ffff,1,2121,1,False,TESTED,-0.029577212740556424,0.431,0.48924772822606394,NOT_HOT
8a60145b346ffff,1,2121,1,False,TESTED,0.8734461211891876,0.07,0.3273709307027488,NOT_SIGNIFICANT
8a60145b3477fff,554,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a60145b3487fff,26,30,1,False,TESTED,-0.34921235469049816,0.374,0.48355557220150724,NOT_HOT
8a60145b3497fff,26,30,2,False,TESTED,-0.6862527987715095,0.195,0.4210317292295203,NOT_HOT
8a60145b34c7fff,1,2121,4,False,TESTED,-1.2374449381071546,0.1,0.3612269992477323,NOT_HOT
8a60145b34cffff,1,2121,6,False,TESTED,-0.2860995640860132,0.317,0.4693970996227559,NOT_HOT
8a60145b34dffff,1,2121,4,False,TESTED,-0.3201881864824597,0.376,0.4845932785514641,NOT_HOT
8a60145b34e7fff,1,2121,3,False,TESTED,-0.5019332816395546,0.197,0.4216415782444523,NOT_HOT
8a60145b34effff,1,2121,4,False,TESTED,-1.0014637013025078,0.032,0.24565320593126438,NOT_HOT
8a60145b3627fff,1,2121,4,False,TESTED,-0.020438766510569875,0.384,0.4850873245340743,NOT_HOT
8a60145b362ffff,1,2121,3,False,TESTED,-0.05106510981165551,0.369,0.4826014945370417,NOT_HOT
8a60145b3637fff,1,2121,3,False,TESTED,-0.12576577532995617,0.437,0.4901992832735439,NOT_HOT
8a60145b3647fff,1,2121,5,False,TESTED,-0.9405830087735149,0.116,0.3752791100805932,NOT_HOT
8a60145b364ffff,1,2121,3,False,TESTED,-0.7468629356595186,0.105,0.3634567787757977,NOT_HOT
8a60145b3657fff,1,2121,4,False,TESTED,-0.921892311434282,0.093,0.35673225601643616,NOT_HOT
8a60145b365ffff,1,2121,5,False,TESTED,-0.8834406121629789,0.322,0.46963982703752494,NOT_HOT
8a60145b3667fff,1,2121,4,False,TESTED,-0.7736076205370144,0.113,0.37232455983132573,NOT_HOT
8a60145b3677fff,1,2121,5,False,TESTED,-0.32421190174123193,0.491,0.4996789244567456,NOT_HOT
8a60145b3687fff,1,2121,5,False,TESTED,-1.116470476106826,0.065,0.3194657645758882,NOT_HOT
8a60145b368ffff,1,2121,4,False,TESTED,-1.2027760809815005,0.118,0.3771900131440965,NOT_HOT
8a60145b3697fff,1,2121,4,False,TESTED,-0.502121433248149,0.292,0.465467060660444,NOT_HOT
8a60145b369ffff,1,2121,6,False,TESTED,-0.931768209161926,0.084,0.3487954818983845,NOT_HOT
8a60145b36a7fff,1,2121,2,False,TESTED,-0.8444573803035195,0.142,0.39494380131047124,NOT_HOT
8a60145b36affff,1,2121,3,False,TESTED,-1.2616884824823527,0.033,0.24942746976526772,NOT_HOT
8a60145b36effff,1,2121,3,False,TESTED,-0.8306698050604807,0.054,0.3002379681278333,NOT_HOT
8a60145b370ffff,1,2121,4,False,TESTED,-0.9284433381625883,0.34,0.4757414498709907,NOT_HOT
8a60145b3717fff,1,2121,4,False,TESTED,0.24827949561937637,0.263,0.45186579147441275,NOT_SIGNIFICANT
8a60145b371ffff,1,2121,5,False,TESTED,-0.5746771844535269,0.071,0.32917166432057776,NOT_HOT
8a60145b3727fff,1,2121,3,False,TESTED,0.15398897291749467,0.308,0.4679005419220933,NOT_SIGNIFICANT
8a60145b372ffff,1,2121,5,False,TESTED,-1.0213385185724007,0.089,0.3524088830697753,NOT_HOT
8a60145b3737fff,1,2121,3,False,TESTED,0.7002828364190469,0.302,0.4679005419220933,NOT_SIGNIFICANT
